epoch,train_loss,validation_accuracy,validation_macro_f1,seconds
1,4.120181009389352,0.10267857142857142,0.059151093870919526,28.650608700001612
2,3.545410909514496,0.15535714285714286,0.12936376472580408,27.09183600000688
3,2.913001812022665,0.35,0.3316606549684728,29.4386044999992
4,1.635572796282561,0.44910714285714287,0.4581919258474381,27.927349099998537
5,0.856536631134973,0.46339285714285716,0.4797172690399097,27.086881399998674
6,0.3359675264876822,0.5214285714285715,0.5458426361354427,25.708432699997502
7,0.12071704043858293,0.5517857142857143,0.56876406204979,26.217397000000346
8,0.08651979964064516,0.5464285714285714,0.5890462077274896,26.15700420000212
