epoch,train_loss,validation_accuracy,validation_macro_f1,seconds
1,2.093305310124297,0.3337595907928389,0.18450998536717356,16.762218900003063
2,1.7455686468698066,0.3887468030690537,0.3476849067008037,16.890594900003634
3,1.496511959477991,0.5268542199488491,0.5162591409335341,18.250019800005248
4,0.8008510539341709,0.6010230179028133,0.5975403944854515,18.97242659999756
5,0.4033937478739682,0.6240409207161125,0.6369182621212713,18.6644512999992
6,0.19660912474239087,0.6368286445012787,0.664840337163158,19.26945450000494
7,0.06050521254079814,0.659846547314578,0.6619015589629197,19.11213839999982
8,0.05345848606597718,0.670076726342711,0.6960901786007714,19.533024000003934
