epoch,phase,train_loss,validation_accuracy,validation_macro_f1,seconds
1,head,2.2059039345035307,0.31088082901554404,0.2051132434402699,12.943054700001085
2,head,1.862472408468073,0.41450777202072536,0.3894862295427645,13.079826399996819
3,layer4_and_head,1.4521864674308083,0.5518134715025906,0.5450142001543195,13.106707999999344
4,layer4_and_head,0.7177125254234711,0.6761658031088082,0.6707007514351211,12.683152799996606
5,layer4_and_head,0.45262999178527236,0.6839378238341969,0.6842513152103528,12.777864600000612
6,layer4_and_head,0.20313912494616074,0.7253886010362695,0.7283770907056246,12.604647699998168
7,layer4_and_head,0.0833406902946435,0.6709844559585493,0.6729339010963886,12.668238199999905
8,layer4_and_head,0.07759389715849772,0.7253886010362695,0.7299082471403191,12.517168099999253
